name,accuracy,balanced_accuracy,precision,recall,f1,auroc
LogisticRegression,0.8655897114178168,0.8517908690673934,0.9602344077019673,0.8730732635585157,0.9145818797966709,0.8517908690673934
RandomForestClassifier,0.8767252195734002,0.6788943200944515,0.8804699472160735,0.9840152235965747,0.9293673616103523,0.6788943200944515
SGDClassifier,0.895702634880803,0.791461426227602,0.9235880398671097,0.9522359657469077,0.9376932446359973,0.7914614262276021
KNeighborsClassifier,0.8670012547051443,0.6698372307585232,0.8780236747297993,0.9739295908658421,0.923493323709852,0.6698372307585232
BernoulliNB,0.8707653701380176,0.7591397174094423,0.9135710285607617,0.931303520456708,0.9223520542781757,0.7591397174094423
