name,accuracy,balanced_accuracy,precision,recall,f1,auroc
LogisticRegression,0.872,0.8661546826151965,0.9663794914898087,0.8751665080875357,0.9185140802875974,0.8661546826151965
RandomForestClassifier,0.8774901960784314,0.6833058651624303,0.8821318756405876,0.9826831588962892,0.9296966423620487,0.6833058651624303
SGDClassifier,0.8978823529411765,0.7884132458882697,0.9219208211143695,0.9571836346336822,0.93922136121744,0.7884132458882697
KNeighborsClassifier,0.8666666666666667,0.6774432513252685,0.8809894481923543,0.9691722169362512,0.9229793403407032,0.6774432513252684
BernoulliNB,0.8738823529411764,0.7573454703003941,0.9123587178061886,0.937012369172217,0.9245212166729253,0.7573454703003942
